time_s,agent_id,x,y,base_speed,desired_speed,speed_factor,extinction_per_m
22.58,1,-23.963807526226947,-0.054985196451629983,1.25,1.1490793201133145,0.9192634560906515,1.0
22.69,1,-23.837408801329612,-0.05490069080633277,1.25,1.1490793201133145,0.9192634560906515,1.0
22.8,1,-23.711010076443817,-0.05481651487115832,1.25,1.1490793201133145,0.9192634560906515,1.0
22.9,1,-23.596102144739636,-0.05474027675861876,1.25,1.1490793201133145,0.9192634560906515,1.0
23.01,1,-23.46970341987643,-0.05465672813813016,1.25,1.1490793201133145,0.9192634560906515,1.0
23.12,1,-23.343304695025374,-0.05457350700236364,1.25,1.1490793201133145,0.9192634560906515,1.0
23.23,1,-23.216905970186666,-0.05449061259458747,1.25,1.1490793201133145,0.9192634560906515,1.0
23.33,1,-23.101998038526006,-0.05441553693302826,1.25,1.1490793201133145,0.9192634560906515,1.0
23.44,1,-22.975599313711456,-0.054333264192488455,1.25,1.1490793201133145,0.9192634560906515,1.0
23.55,1,-22.849200588909856,-0.05425131600228011,1.25,1.1490793201133145,0.9192634560906515,1.0
23.65,1,-22.73429265728345,-0.05417709865896559,1.25,1.1490793201133145,0.9192634560906515,1.0
23.76,1,-22.607893932507157,-0.054095768012121376,1.25,1.1490793201133145,0.9192634560906515,1.0
23.87,1,-22.481495207744423,-0.054014759772914804,1.25,1.1490793201133145,0.9192634560906515,1.0
23.98,1,-22.35509648299546,-0.053934073212786135,1.25,1.1490793201133145,0.9192634560906515,1.0
24.08,1,-22.240188551417617,-0.0538610003277633,1.25,1.1490793201133145,0.9192634560906515,1.0
24.19,1,-22.113789826695516,-0.05378092587379875,1.25,1.1490793201133145,0.9192634560906515,1.0
24.3,1,-21.9873911019878,-0.053701171002474464,1.25,1.1490793201133145,0.9192634560906515,1.0
24.4,1,-21.872483170447975,-0.053628943297899544,1.25,1.1490793201133145,0.9192634560906515,1.0
24.51,1,-21.746084445768282,-0.053549796562902374,1.25,1.1490793201133145,0.9192634560906515,1.0
24.62,1,-21.61968572110357,-0.05347096734800838,1.25,1.1490793201133145,0.9192634560906515,1.0
24.73,1,-21.493286996454053,-0.05339245495197201,1.25,1.1490793201133145,0.9192634560906515,1.0
24.83,1,-21.37837906496785,-0.053321354385099,1.25,1.1490793201133145,0.9192634560906515,1.0
24.94,1,-21.25198034034792,-0.053243444892037695,1.25,1.1490793201133145,0.9192634560906515,1.0
25.05,1,-21.125581615743798,-0.053165850200176376,1.25,1.1490793201133145,0.9192634560906515,1.0
25.15,1,-21.010673684299395,-0.053095582168526445,1.25,1.1490793201133145,0.9192634560906515,1.0
25.26,1,-20.88427495972602,-0.05301858655925369,1.25,1.1490793201133145,0.9192634560906515,1.0
25.37,1,-20.757876235169064,-0.052941903766438335,1.25,1.1490793201133145,0.9192634560906515,1.0
25.48,1,-20.631477510628738,-0.05286553311535502,1.25,1.1490793201133145,0.9192634560906515,1.0
25.58,1,-20.516569579243043,-0.052796375552910176,1.25,1.1490793201133145,0.9192634560906515,1.0
25.69,1,-20.39017085473504,-0.052720598948985134,1.25,1.1490793201133145,0.9192634560906515,1.0
25.8,1,-20.263772130244277,-0.05264513254565595,1.25,1.1490793201133145,0.9192634560906515,1.0
25.9,1,-20.14886419890418,-0.05257679535146084,1.25,1.1490793201133145,0.9192634560906515,1.0
26.01,1,-20.02246547444692,-0.05250191932011435,1.25,1.1490793201133145,0.9192634560906515,1.0
26.12,1,-19.896066750007517,-0.05242735158023246,1.25,1.1490793201133145,0.9192634560906515,1.0
26.23,1,-19.769668025586178,-0.05235309148287664,1.25,1.1490793201133145,0.9192634560906515,1.0
26.33,1,-19.654760094309907,-0.05228584872298345,1.25,1.1490793201133145,0.9192634560906515,1.0
26.44,1,-19.52836136992365,-0.052212174154628775,1.25,1.1490793201133145,0.9192634560906515,1.0
26.55,1,-19.401962645556086,-0.05213880536210121,1.25,1.1490793201133145,0.9192634560906515,1.0
26.65,1,-19.287054714329237,-0.05207237126851046,1.25,1.1490793201133145,0.9192634560906515,1.0
26.76,1,-19.160655989997935,-0.05199958447110947,1.25,1.1490793201133145,0.9192634560906515,1.0
26.87,1,-19.034257265685934,-0.0519271016140035,1.25,1.1490793201133145,0.9192634560906515,1.0
26.98,1,-18.907858541393455,-0.05185492207336552,1.25,1.1490793201133145,0.9192634560906515,1.0
27.08,1,-18.7929506102356,-0.051789566995706145,1.25,1.1490793201133145,0.9192634560906515,1.0
