time_s,agent_id,x,y,base_speed,desired_speed,speed_factor,extinction_per_m
93.43,44,24.10653511888312,10.680467888015862,1.2,1.1031161473087818,0.9192634560906515,1.0
93.43,45,20.25536950027035,11.412766328903176,1.2,1.1031161473087818,0.9192634560906515,1.0
93.43,46,19.048951920531813,5.973170324002206,1.2,1.1031161473087818,0.9192634560906515,1.0
93.43,47,19.645615253537986,4.857079651520712,1.2,1.1031161473087818,0.9192634560906515,1.0
93.54,41,27.83584021863414,11.966115898927322,1.2,1.1031161473087818,0.9192634560906515,1.0
93.54,42,21.521430510293456,10.410165308726253,1.2,1.1031161473087818,0.9192634560906515,1.0
93.54,43,22.847931235088122,10.513466766688808,1.2,1.1031161473087818,0.9192634560906515,1.0
93.54,44,24.227869303877792,10.68191180233557,1.2,1.1031161473087818,0.9192634560906515,1.0
93.54,45,20.376707378469305,11.413856581653626,1.2,1.1031161473087818,0.9192634560906515,1.0
93.54,46,19.02070475797973,6.091179506461199,1.2,1.1031161473087818,0.9192634560906515,1.0
93.54,47,19.63435375465262,4.977898722779069,1.2,1.1031161473087818,0.9192634560906515,1.0
93.65,41,27.954180900620372,11.992940371409023,1.2,1.1031161473087818,0.9192634560906515,1.0
93.65,42,21.634875557291558,10.417310150992282,1.2,1.1031161473087818,0.9192634560906515,1.0
93.65,43,22.96787603734882,10.51641292416875,1.2,1.1031161473087818,0.9192634560906515,1.0
93.65,44,24.349203489231666,10.68335568647155,1.2,1.1031161473087818,0.9192634560906515,1.0
93.65,45,20.498045255846936,11.414946925808328,1.2,1.1031161473087818,0.9192634560906515,1.0
93.65,46,18.992457761812993,6.209188728746745,1.2,1.1031161473087818,0.9192634560906515,1.0
93.65,47,19.623091923760803,5.098717763090769,1.2,1.1031161473087818,0.9192634560906515,1.0
93.76,41,28.072521582606605,12.019764843890725,1.2,1.1031161473087818,0.9192634560906515,1.0
93.76,42,21.74897128112546,10.42449592017492,1.2,1.1031161473087818,0.9192634560906515,1.0
93.76,43,23.08794632318322,10.519362117002569,1.2,1.1031161473087818,0.9192634560906515,1.0
93.76,44,24.470537674931307,10.68479954155098,1.2,1.1031161473087818,0.9192634560906515,1.0
93.76,45,20.619383132371716,11.416037364867703,1.2,1.1031161473087818,0.9192634560906515,1.0
93.76,46,18.96421095526079,6.327197996418759,1.2,1.1031161473087818,0.9192634560906515,1.0
93.76,47,19.611829744230956,5.219536770904576,1.2,1.1031161473087818,0.9192634560906515,1.0
93.87,41,28.190862264592838,12.046589316372426,1.2,1.1031161473087818,0.9192634560906515,1.0
93.87,42,21.863663738685894,10.431719210070463,1.2,1.1031161473087818,0.9192634560906515,1.0
93.87,43,23.208129219796298,10.522314029260054,1.2,1.1031161473087818,0.9192634560906515,1.0
93.87,44,24.591871860965405,10.686243368524261,1.2,1.1031161473087818,0.9192634560906515,1.0
93.87,45,20.740721008014216,11.417127902098084,1.2,1.1031161473087818,0.9192634560906515,1.0
93.87,46,18.935964358826446,6.445207314384575,1.2,1.1031161473087818,0.9192634560906515,1.0
93.87,47,19.60056720254729,5.340355744959556,1.2,1.1031161473087818,0.9192634560906515,1.0
93.98,41,28.30920294657907,12.073413788854126,1.2,1.1031161473087818,0.9192634560906515,1.0
93.98,42,21.978903334848983,10.438976889446204,1.2,1.1031161473087818,0.9192634560906515,1.0
93.98,43,23.32841319131093,10.52526838589947,1.2,1.1031161473087818,0.9192634560906515,1.0
93.98,44,24.713206047324473,10.68768716818772,1.2,1.1031161473087818,0.9192634560906515,1.0
93.98,45,20.862058882747032,11.418218540538364,1.2,1.1031161473087818,0.9192634560906515,1.0
93.98,46,18.90771799029563,6.563216686900924,1.2,1.1031161473087818,0.9192634560906515,1.0
93.98,47,19.589304288223023,5.461174684277025,1.2,1.1031161473087818,0.9192634560906515,1.0
94.09,41,28.427543628565303,12.100238261335818,1.2,1.1031161473087818,0.9192634560906515,1.0
94.09,42,22.09464450357032,10.446266081786456,1.2,1.1031161473087818,0.9192634560906515,1.0
94.09,43,23.44878790026267,10.528224940130666,1.2,1.1031161473087818,0.9192634560906515,1.0
94.09,44,24.834540234000645,10.689130941202583,1.2,1.1031161473087818,0.9192634560906515,1.0
94.09,45,20.983396756544735,11.419309283008454,1.2,1.1031161473087818,0.9192634560906515,1.0
94.09,46,18.87941494817684,6.68121247655571,1.2,1.1031161473087818,0.9192634560906515,1.0
94.09,47,19.522003094164063,5.546284931909635,1.2,1.1031161473087818,0.9192634560906515,1.0
94.09,48,19.709898321489415,5.97303165194091,1.2,1.1031161473087818,0.9192634560906515,1.0
94.2,41,28.545884310551536,12.12706273381751,1.2,1.1031161473087818,0.9192634560906515,1.0
94.2,42,22.21084540804893,10.45358414627255,1.2,1.1031161473087818,0.9192634560906515,1.0
94.2,43,23.5692440833197,10.531183469234085,1.2,1.1031161473087818,0.9192634560906515,1.0
94.2,44,24.95587442098746,10.690574688110798,1.2,1.1031161473087818,0.9192634560906515,1.0
94.2,45,21.104734629383778,11.420400132118809,1.2,1.1031161473087818,0.9192634560906515,1.0
94.2,46,18.8511121485565,6.799208327548309,1.2,1.1031161473087818,0.9192634560906515,1.0
94.2,47,19.47910827941646,5.648316951820981,1.2,1.1031161473087818,0.9192634560906515,1.0
94.2,48,19.7154654961365,6.094242597442001,1.2,1.1031161473087818,0.9192634560906515,1.0
94.31,41,28.66422499253777,12.153887206299201,1.2,1.1031161473087818,0.9192634560906515,1.0
94.31,42,22.327467659502954,10.460928659960475,1.2,1.1031161473087818,0.9192634560906515,1.0
94.31,43,23.689773439805514,10.534143773219531,1.2,1.1031161473087818,0.9192634560906515,1.0
94.31,44,25.077208608279722,10.692018409348291,1.2,1.1031161473087818,0.9192634560906515,1.0
94.31,45,21.22607250124238,11.421491090280368,1.2,1.1031161473087818,0.9192634560906515,1.0
94.31,46,18.82282225827215,6.917207274296079,1.2,1.1031161473087818,0.9192634560906515,1.0
94.31,47,19.446956771225466,5.7560562238984545,1.2,1.1031161473087818,0.9192634560906515,1.0
94.31,48,19.717669932768278,6.215561887216953,1.2,1.1031161473087818,0.9192634560906515,1.0
94.42,41,28.782565674524,12.180711678780886,1.2,1.1031161473087818,0.9192634560906515,1.0
94.42,42,22.444476053946754,10.468297401112425,1.2,1.1031161473087818,0.9192634560906515,1.0
94.42,43,23.81036853178392,10.537105672707385,1.2,1.1031161473087818,0.9192634560906515,1.0
94.42,44,25.19854279587338,10.69346210525601,1.2,1.1031161473087818,0.9192634560906515,1.0
94.42,45,21.347410372100473,11.422582159714372,1.2,1.1031161473087818,0.9192634560906515,1.0
94.42,46,18.794542168757843,7.035208570337727,1.2,1.1031161473087818,0.9192634560906515,1.0
94.42,47,19.417973125059753,5.873881438892408,1.2,1.1031161473087818,0.9192634560906515,1.0
94.42,48,19.717491634331296,6.336903480028132,1.2,1.1031161473087818,0.9192634560906515,1.0
94.53,41,28.900906356510234,12.207536151262568,1.2,1.1031161473087818,0.9192634560906515,1.0
94.53,42,22.561838326280895,10.475688333637788,1.2,1.1031161473087818,0.9192634560906515,1.0
94.53,43,23.93102269449996,10.54006900684411,1.2,1.1031161473087818,0.9192634560906515,1.0
94.53,44,25.31987698376538,10.69490577608909,1.2,1.1031161473087818,0.9192634560906515,1.0
94.53,45,21.4687482419396,11.423673342461578,1.2,1.1031161473087818,0.9192634560906515,1.0
94.53,46,18.766269824257837,7.153211722283424,1.2,1.1031161473087818,0.9192634560906515,1.0
94.53,47,19.392238681063077,5.992461076769546,1.2,1.1031161473087818,0.9192634560906515,1.0
94.53,48,19.71562870215533,6.458231081332909,1.2,1.1031161473087818,0.9192634560906515,1.0
94.64,42,22.679524920949138,10.48309959269666,1.2,1.1031161473087818,0.9192634560906515,1.0
94.64,43,24.051729956102875,10.543033631415737,1.2,1.1031161473087818,0.9192634560906515,1.0
94.64,44,25.441211171953622,10.696349422024431,1.2,1.1031161473087818,0.9192634560906515,1.0
94.64,45,21.59008611074285,11.424764640390505,1.2,1.1031161473087818,0.9192634560906515,1.0
94.64,46,18.738003793964875,7.271216386875611,1.2,1.1031161473087818,0.9192634560906515,1.0
94.64,47,19.36895514020629,6.111547404637554,1.2,1.1031161473087818,0.9192634560906515,1.0
94.64,48,19.71226144093954,6.579526453141353,1.2,1.1031161473087818,0.9192634560906515,1.0
94.75,42,22.79750877829848,10.49052947286204,1.2,1.1031161473087818,0.9192634560906515,1.0
94.75,43,24.172484965691183,10.54599941714936,1.2,1.1031161473087818,0.9192634560906515,1.0
94.75,44,25.562545360436847,10.697793043166866,1.2,1.1031161473087818,0.9192634560906515,1.0
94.75,45,21.711423978494786,11.425856055204392,1.2,1.1031161473087818,0.9192634560906515,1.0
94.75,46,18.709742968388912,7.389222298052516,1.2,1.1031161473087818,0.9192634560906515,1.0
94.75,47,19.34756664876323,6.230989285202008,1.2,1.1031161473087818,0.9192634560906515,1.0
94.75,48,19.707582543117574,6.700778480627907,1.2,1.1031161473087818,0.9192634560906515,1.0
94.85,42,22.905003907448222,10.497298758697191,1.2,1.1031161473087818,0.9192634560906515,1.0
94.85,43,24.282299637181605,10.548696495889578,1.2,1.1031161473087818,0.9192634560906515,1.0
94.85,44,25.67284916840445,10.699105404542061,1.2,1.1031161473087818,0.9192634560906515,1.0
94.85,45,21.821731130072457,11.426848353220613,1.2,1.1031161473087818,0.9192634560906515,1.0
94.85,46,18.68405509358396,7.496501305465826,1.2,1.1031161473087818,0.9192634560906515,1.0
94.85,47,19.329430340139044,6.339799308753531,1.2,1.1031161473087818,0.9192634560906515,1.0
94.85,48,19.70233960132374,6.810965141490392,1.2,1.1031161473087818,0.9192634560906515,1.0
